"id","AC","DE","GA","TP","ML"
"1-cysPrx_C","PF10417.12","C-terminal domain of 1-Cys peroxiredoxin","21.1; 21.1;","Domain",40
"120_Rick_ant","PF12574.11","120 KDa Rickettsia surface antigen","25; 25;","Family",238
"12TM_1","PF09847.12","Membrane protein of 12 TMs","33.2; 33.2;","Family",449
"14-3-3","PF00244.23","14-3-3 protein","33.2; 33.2;","Repeat",222
"17kDa_Anti_2","PF16998.8","17 kDa outer membrane surface antigen","26.6; 26.6;","Family",116
"2-Hacid_dh","PF00389.33","D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain","24.6; 24.6;","Domain",134
"2-Hacid_dh_C","PF02826.22","D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain","25.1; 25.1;","Domain",178
"2-oxoacid_dh","PF00198.26","2-oxoacid dehydrogenases acyltransferase (catalytic domain)","23; 23;","Domain",233
"2-oxogl_dehyd_N","PF16078.8","2-oxoglutarate dehydrogenase N-terminus","27; 27;","Family",41
"2-ph_phosp","PF04029.17","2-phosphosulpholactate phosphatase","26.4; 26.4;","Family",226
"2-thiour_desulf","PF04463.15","2-thiouracil desulfurase","34.7; 34.7;","Family",137
"23ISL","PF16620.8","Unstructured linker between I-set domains 2 and 3 on MYLCK","25; 25;","Disordered",162
"23S_rRNA_IVP","PF05635.14","23S rRNA-intervening sequence protein","23.4; 23.4;","Family",106
"2CSK_N","PF08521.13","Two-component sensor kinase N-terminal","23.2; 23.2;","Family",143
"2C_adapt","PF08793.13","2-cysteine adaptor domain","22; 22;","Domain",35
"2EXR","PF20150.2","2EXR family","24.8; 24.8;","Family",99
"2Fe-2S_Ferredox","PF11591.11","Ferredoxin chloroplastic transit peptide","25; 25;","Family",34
"2Fe-2S_thioredx","PF01257.22","Thioredoxin-like [2Fe-2S] ferredoxin","24.8; 24.8;","Family",145
"2H-phosphodiest","PF08975.13","Domain of unknown function (DUF1868)","21; 21;","Domain",116
"2HCT","PF03390.18","2-hydroxycarboxylate transporter family","26.2; 26.2;","Family",416
